agency,price,title,address,date,transport,bed,bath,chair
jcp-estate-agents-east-oxford-oxford-63448,"£525,000",3 bed property for sale,"Green Street, East Oxford OX4",Listed on 28th Mar 2022,"['1.7 miles Oxford', '4.1 miles Radley']",3,1,1
amelies-estate-agents-oxford-61460,"£385,000",3 bed semi-detached house for sale,"Sparrow Way, Oxford OX4",Listed on 28th Mar 2022,"['2.7 miles Radley', '4.2 miles Oxford']",3,2,1
thomas-merrifield-oxford-oxford-14748,"£1,350,000",6 bed detached house for sale,"Talbot Road, Oxford OX2",Listed on 28th Mar 2022,"['0.9 miles Oxford Parkway', '2.7 miles Oxford']",6,3,2
chancellors-headington-oxford-13802,"£450,000",2 bed terraced house for sale,"Maltfield Road, Headington OX3",Listed on 28th Mar 2022,"['2.2 miles Oxford', '3.2 miles Oxford Parkway']",2,1,1
london-property-zone-london-12715,"£585,000",2 bed flat for sale,"Woodins Way, Oxford OX1",Listed on 27th Mar 2022,"['0.3 miles Oxford', '3.7 miles Oxford Parkway']",2,2,
i-am-the-agent-london-30307,"£428,000",2 bed flat for sale,"Paradise Street, Oxford OX1",Listed on 27th Mar 2022,"['0.3 miles Oxford', '3.7 miles Oxford Parkway']",2,1,
carter-jonas-oxford-oxford-80235,"£775,000",2 bed flat for sale,"Banbury Road, Oxford, Oxfordshire OX2",Listed on 26th Mar 2022,"['1.1 miles Oxford', '2.6 miles Oxford Parkway']",2,1,1
knight-frank-oxford-sales-oxford-36493,"£2,250,000",4 bed semi-detached house for sale,"Chalfont Road, Oxford, Oxfordshire OX2",Listed on 26th Mar 2022,"['1.1 miles Oxford', '2.5 miles Oxford Parkway']",4,2,4
cala-homes-wolvercote-oxford-102137,"£760,000",3 bed end terrace house for sale,"""Sandford"" at Godstow Road, Wolvercote, Oxford OX2",Listed on 26th Mar 2022,"['1.6 miles Oxford Parkway', '2.3 miles Oxford']",3,,
london-property-zone-london-12715,"£585,000",2 bed flat for sale,"Woodins Way, Oxford OX1",Listed on 25th Mar 2022,"['0.3 miles Oxford', '3.7 miles Oxford Parkway']",2,2,
breckon-and-breckon-new-homes-oxford-120894,"£300,000",1 bed flat for sale,"Flat 3, The Orchards, 157 Eynsham Road, Botley, Oxford OX2",Listed on 25th Mar 2022,"['2.1 miles Oxford', '4.2 miles Oxford Parkway']",1,,
breckon-and-breckon-new-homes-oxford-120894,"£365,000",2 bed flat for sale,"Flat 5, The Orchards, 157 Eynsham Road, Botley, Oxford OX2",Listed on 25th Mar 2022,"['2.1 miles Oxford', '4.2 miles Oxford Parkway']",2,,
breckon-and-breckon-new-homes-oxford-120894,"£295,000",1 bed flat for sale,"Flat 7, The Orchards, 157 Eynsham Road, Botley, Oxford OX2",Listed on 25th Mar 2022,"['2.1 miles Oxford', '4.2 miles Oxford Parkway']",1,,
breckon-and-breckon-new-homes-oxford-120894,"£375,000",2 bed flat for sale,"Flat 1, The Orchards, 157 Eynsham Road, Botley, Oxford OX2",Listed on 25th Mar 2022,"['2.1 miles Oxford', '4.2 miles Oxford Parkway']",2,,
breckon-and-breckon-oxford-36492,"£375,000",2 bed flat for sale,"Apartment 4, Sunderland Avenue, Oxford, Oxfordshire OX2",Listed on 25th Mar 2022,"['1.1 miles Oxford Parkway', '2.4 miles Oxford']",2,,
